Number,Action ID,Title,Script,Tier,Status,Risk,Requires Admin,Requires Runtime Input,Mutating,Check Type
61,ENDUSER_NOINPUT_OS_CAPTION_PRESENCE_V1,OS caption property presence,scripts/checks/061-os-caption-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
62,ENDUSER_NOINPUT_OS_VERSION_PRESENCE_V1,OS version/build property presence,scripts/checks/062-os-version-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
63,ENDUSER_NOINPUT_OS_INSTALL_DATE_PRESENCE_V1,OS install date property presence,scripts/checks/063-os-install-date-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
64,ENDUSER_NOINPUT_OS_ARCHITECTURE_PRESENCE_V1,OS architecture property presence,scripts/checks/064-os-architecture-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
65,ENDUSER_NOINPUT_COMPUTER_MANUFACTURER_PRESENCE_V1,Computer manufacturer/model property presence,scripts/checks/065-computer-manufacturer-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
66,ENDUSER_NOINPUT_COMPUTER_MEMORY_PRESENCE_V1,Computer memory property presence,scripts/checks/066-computer-memory-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
67,ENDUSER_NOINPUT_PROCESSOR_COUNT_V1,Processor instance count,scripts/checks/067-processor-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
68,ENDUSER_NOINPUT_BIOS_PROPERTY_PRESENCE_V1,BIOS property presence,scripts/checks/068-bios-property-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
69,ENDUSER_NOINPUT_BATTERY_INSTANCE_COUNT_V1,Battery instance count,scripts/checks/069-battery-instance-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
70,ENDUSER_NOINPUT_PORTABLE_CHASSIS_PRESENCE_V1,System enclosure property presence,scripts/checks/070-portable-chassis-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
71,ENDUSER_NOINPUT_HOTFIX_COUNT_V1,Installed hotfix count,scripts/checks/071-hotfix-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
