"action_id","title","action_layer","script_path","platform","audience","tier","status","mutation_capable","requires_admin","stores_credentials","stores_target_inventory","evidence","issue_area","action_type"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_PRESENCE_SUMMARY_V1","Unity Package Readiness Presence Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2501-unity-package-readiness-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_STATUS_SUMMARY_V1","Unity Package Readiness Status Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2502-unity-package-readiness-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_CONFIGURATION_SUMMARY_V1","Unity Package Readiness Configuration Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2503-unity-package-readiness-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_COUNT_SUMMARY_V1","Unity Package Readiness Count Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2504-unity-package-readiness-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_RISK_CATEGORY_SUMMARY_V1","Unity Package Readiness Risk Category Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2505-unity-package-readiness-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_EVENT_COUNT_24H_V1","Unity Package Readiness Event Count 24h","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2506-unity-package-readiness-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_EVENT_COUNT_7D_V1","Unity Package Readiness Event Count 7d","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2507-unity-package-readiness-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_GUIDANCE_PLAN_V1","Unity Package Readiness Guidance Plan","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2508-unity-package-readiness-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_QUESTION_PLAN_V1","Unity Package Readiness Question Plan","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2509-unity-package-readiness-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UNITY_PACKAGE_READINESS_RUNNER_SUMMARY_V1","Unity Package Readiness Runner Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2510-unity-package-readiness-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UEMCLI_COMMAND_READINESS_PRESENCE_SUMMARY_V1","UEMCLI Command Readiness Presence Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2511-uemcli-command-readiness-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UEMCLI_COMMAND_READINESS_STATUS_SUMMARY_V1","UEMCLI Command Readiness Status Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2512-uemcli-command-readiness-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UEMCLI_COMMAND_READINESS_CONFIGURATION_SUMMARY_V1","UEMCLI Command Readiness Configuration Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2513-uemcli-command-readiness-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UEMCLI_COMMAND_READINESS_COUNT_SUMMARY_V1","UEMCLI Command Readiness Count Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2514-uemcli-command-readiness-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
"STORAGE_UNITY_UEMCLI_COMMAND_READINESS_RISK_CATEGORY_SUMMARY_V1","UEMCLI Command Readiness Risk Category Summary","dell-emc-unity-enterprise-evidence-v1","action-layers/windows/storage-admin/dell-emc-unity-enterprise-evidence-v1/scripts/checks/2515-uemcli-command-readiness-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","dell-emc-unity-enterprise-evidence-v1","evidence"
