"number","action_id","title","layer","script_path","script_sha256","mutation_capable","stores_credentials","stores_target_inventory","evidence"
"4951","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_PRESENCE_SUMMARY_V1","Automation Runner Health Presence Summary","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4951-automation-runner-health-presence-summary.ps1","bc8905f19f7bc87c7e24b55b0350899d197a71575fe8f5fd2e2792e7ee08e4dd","False","False","False","safe sanitized evidence only"
"4952","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_STATUS_SUMMARY_V1","Automation Runner Health Status Summary","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4952-automation-runner-health-status-summary.ps1","75706565ab250e55bdae1e4250ce82fa67394c97504762b21eb76946f2536448","False","False","False","safe sanitized evidence only"
"4953","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_CONFIGURATION_SUMMARY_V1","Automation Runner Health Configuration Summary","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4953-automation-runner-health-configuration-summary.ps1","6bf94050f907a6896b78b6b38fb292a5dbe5bf9030f5d9fedb33995b7ad78567","False","False","False","safe sanitized evidence only"
"4954","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_COUNT_SUMMARY_V1","Automation Runner Health Count Summary","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4954-automation-runner-health-count-summary.ps1","1da13cdbd240b8af46757e61ead3b28a74d32e2fc8e32a4c0bc406a978cd62a8","False","False","False","safe sanitized evidence only"
"4955","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_RISK_CATEGORY_SUMMARY_V1","Automation Runner Health Risk Category Summary","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4955-automation-runner-health-risk-category-summary.ps1","11afe0e9ea7e9d7e0f50e0a5f4ee0925617f950f6d14ec681ba97c0420e82f49","False","False","False","safe sanitized evidence only"
"4956","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_EVENT_COUNT_24H_V1","Automation Runner Health Event Count 24h","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4956-automation-runner-health-event-count-24h.ps1","8e30170b3736df4353980350432d2159d3264edc6b8bcbf0911c5cd3f9fcd073","False","False","False","safe sanitized evidence only"
"4957","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_EVENT_COUNT_7D_V1","Automation Runner Health Event Count 7d","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4957-automation-runner-health-event-count-7d.ps1","bb9f55a69249b9c5300581cc776a6ddff51d20cdbebea370071693bff314958b","False","False","False","safe sanitized evidence only"
"4958","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_GUIDANCE_PLAN_V1","Automation Runner Health Guidance Plan","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4958-automation-runner-health-guidance-plan.ps1","5c748694bbd4857e51d735d93e65b0c1fb209b25a696388fba540627ab684d0a","False","False","False","safe sanitized evidence only"
"4959","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_QUESTION_PLAN_V1","Automation Runner Health Question Plan","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4959-automation-runner-health-question-plan.ps1","ab1049a383137f6daab7f9b5efb0ff093f5440b3704fe827333f19deb2fc6775","False","False","False","safe sanitized evidence only"
"4960","STORAGE_ENTERPRISE_AUTOMATION_RUNBOOK_FLEET_EVIDENCE_V1_AUTOMATION_RUNNER_HEALTH_RUNNER_SUMMARY_V1","Automation Runner Health Runner Summary","enterprise-automation-runbook-fleet-evidence-v1","action-layers/windows/storage-admin/enterprise-automation-runbook-fleet-evidence-v1/scripts/checks/4960-automation-runner-health-runner-summary.ps1","3622d409ab10c8031daa5bc0d31a7ad60a2856b8df67557ea87800b639810ba4","False","False","False","safe sanitized evidence only"
