"number","action_id","title","layer","script_path","script_sha256","mutation_capable","stores_credentials","stores_target_inventory","evidence"
"4251","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_PRESENCE_SUMMARY_V1","Backup Platform Inventory Presence Summary","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4251-backup-platform-inventory-presence-summary.ps1","dfc059be26c1ebe34124f834381322cc5079da422fc07e12949db1ac4c4d85e0","False","False","False","safe sanitized evidence only"
"4252","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_STATUS_SUMMARY_V1","Backup Platform Inventory Status Summary","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4252-backup-platform-inventory-status-summary.ps1","213ef877f44a19f701f484b336a8853e71058a26f9dbf57faa5d7c7f13bb23d6","False","False","False","safe sanitized evidence only"
"4253","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_CONFIGURATION_SUMMARY_V1","Backup Platform Inventory Configuration Summary","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4253-backup-platform-inventory-configuration-summary.ps1","a55bec754b32f677816ef7999826ad751b632b6f4f58db14d7ab09d235aed1fb","False","False","False","safe sanitized evidence only"
"4254","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_COUNT_SUMMARY_V1","Backup Platform Inventory Count Summary","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4254-backup-platform-inventory-count-summary.ps1","d337a10518db48648891098eb8955781173a55110751df32695a1112631ead9b","False","False","False","safe sanitized evidence only"
"4255","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_RISK_CATEGORY_SUMMARY_V1","Backup Platform Inventory Risk Category Summary","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4255-backup-platform-inventory-risk-category-summary.ps1","37d51a4a03550d7c56bd305e53d8afe625c22595fe3be63643d41e21e12eed3a","False","False","False","safe sanitized evidence only"
"4256","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_EVENT_COUNT_24H_V1","Backup Platform Inventory Event Count 24h","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4256-backup-platform-inventory-event-count-24h.ps1","384e313f7e9e46d00f80a19a224ba6eeeebffdd911adeec94d0413098da04993","False","False","False","safe sanitized evidence only"
"4257","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_EVENT_COUNT_7D_V1","Backup Platform Inventory Event Count 7d","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4257-backup-platform-inventory-event-count-7d.ps1","dcec466a0328df47af014213269aafcb78e12a4869b5457087bb37a3ca412e9b","False","False","False","safe sanitized evidence only"
"4258","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_GUIDANCE_PLAN_V1","Backup Platform Inventory Guidance Plan","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4258-backup-platform-inventory-guidance-plan.ps1","261816082d1e1b6c633c36db4279ab0f1786c8f1a884e71af19eb17edcd5f514","False","False","False","safe sanitized evidence only"
"4259","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_QUESTION_PLAN_V1","Backup Platform Inventory Question Plan","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4259-backup-platform-inventory-question-plan.ps1","72fbf27675e4177b6f9518b5e7e8380e0f1e907b63d5bda1331b0539b2bdf456","False","False","False","safe sanitized evidence only"
"4260","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_BACKUP_PLATFORM_INVENTORY_RUNNER_SUMMARY_V1","Backup Platform Inventory Runner Summary","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4260-backup-platform-inventory-runner-summary.ps1","1e54ebcf9111621418bec1ae121e0637e6369b102052e1f2512d82cb435d9b47","False","False","False","safe sanitized evidence only"
"4261","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_COMMVAULT_COMMSERVE_DR_BACKUP_PRESENCE_SUMMARY_V1","Commvault Commserve Dr Backup Presence Summary","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4261-commvault-commserve-dr-backup-presence-summary.ps1","d80b1895204093bbd404208e2ca1ae80ce4e79eda163764d90c95e82029323e2","False","False","False","safe sanitized evidence only"
"4262","STORAGE_ENTERPRISE_BACKUP_DR_RESILIENCE_EVIDENCE_V1_COMMVAULT_COMMSERVE_DR_BACKUP_STATUS_SUMMARY_V1","Commvault Commserve Dr Backup Status Summary","enterprise-backup-dr-resilience-evidence-v1","action-layers/windows/storage-admin/enterprise-backup-dr-resilience-evidence-v1/scripts/checks/4262-commvault-commserve-dr-backup-status-summary.ps1","2a8d2889d4c83609c6f5a3532604cfeb6dec275e415df5f57cdbfd09f4c9684e","False","False","False","safe sanitized evidence only"
