"number","action_id","title","layer","script_path","script_sha256","mutation_capable","stores_credentials","stores_target_inventory","evidence"
"4701","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_PRESENCE_SUMMARY_V1","Cmdb Ci Mapping Coverage Presence Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4701-cmdb-ci-mapping-coverage-presence-summary.ps1","1f0e17d6f565b077a00de9df89e1a5bbbf2a708f129bb5f324ee58def09959a4","False","False","False","safe sanitized evidence only"
"4702","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_STATUS_SUMMARY_V1","Cmdb Ci Mapping Coverage Status Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4702-cmdb-ci-mapping-coverage-status-summary.ps1","e1d5c98932b5f0340aff08c37b4245979a41fb50412f1cac93fe8deb0e08a014","False","False","False","safe sanitized evidence only"
"4703","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_CONFIGURATION_SUMMARY_V1","Cmdb Ci Mapping Coverage Configuration Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4703-cmdb-ci-mapping-coverage-configuration-summary.ps1","211b8c8b36a2a21a81cf8a83b31bb06e928be44a4abb633afb5fbeff4b3c20e6","False","False","False","safe sanitized evidence only"
"4704","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_COUNT_SUMMARY_V1","Cmdb Ci Mapping Coverage Count Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4704-cmdb-ci-mapping-coverage-count-summary.ps1","0ac94a96903e8eaa63722eba693d287ec32ada553ddb6139ab4d3021f4762ad9","False","False","False","safe sanitized evidence only"
"4705","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_RISK_CATEGORY_SUMMARY_V1","Cmdb Ci Mapping Coverage Risk Category Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4705-cmdb-ci-mapping-coverage-risk-category-summary.ps1","62b95621242f91823c9fd89cb98aaeb1485ec5cd46cf37fcdca59cddfeea3c61","False","False","False","safe sanitized evidence only"
"4706","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_EVENT_COUNT_24H_V1","Cmdb Ci Mapping Coverage Event Count 24h","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4706-cmdb-ci-mapping-coverage-event-count-24h.ps1","68d83a3f62325bcd0a1e17b37c924fc7a4a43cc5c0ecc6efb5cd4bfc6945623a","False","False","False","safe sanitized evidence only"
"4707","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_EVENT_COUNT_7D_V1","Cmdb Ci Mapping Coverage Event Count 7d","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4707-cmdb-ci-mapping-coverage-event-count-7d.ps1","c221f2a23054514a3bca05e8f9670fd4b8a39c2c72ed93a24946302a50bc870e","False","False","False","safe sanitized evidence only"
"4708","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_GUIDANCE_PLAN_V1","Cmdb Ci Mapping Coverage Guidance Plan","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4708-cmdb-ci-mapping-coverage-guidance-plan.ps1","911edb3ed0293777e47f03571f4aa22ce8b3bff27a190955cdaf729babc4c1b8","False","False","False","safe sanitized evidence only"
"4709","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_QUESTION_PLAN_V1","Cmdb Ci Mapping Coverage Question Plan","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4709-cmdb-ci-mapping-coverage-question-plan.ps1","57f16134fb1127091d1b0d6ca005860055b92b55b4cef3c06167b5b8ccf7eea3","False","False","False","safe sanitized evidence only"
"4710","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_CMDB_CI_MAPPING_COVERAGE_RUNNER_SUMMARY_V1","Cmdb Ci Mapping Coverage Runner Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4710-cmdb-ci-mapping-coverage-runner-summary.ps1","eff00ca47cf4e30d84555cfeae5b63ea15bd04e4a7b5aee6ff228090a5cc503b","False","False","False","safe sanitized evidence only"
"4711","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_PRESENCE_SUMMARY_V1","Storage Service Owner Mapping Presence Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4711-storage-service-owner-mapping-presence-summary.ps1","25cb00b7f5d4f1f4c7590cb9851b20f2ee6e1ff7cf0c88fd8a6bc923d739ab0c","False","False","False","safe sanitized evidence only"
"4712","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_STATUS_SUMMARY_V1","Storage Service Owner Mapping Status Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4712-storage-service-owner-mapping-status-summary.ps1","5a03c23c2e64cd1cd685c5b1c46379b1ba83700c106e52218dafdaf82ae9f0fe","False","False","False","safe sanitized evidence only"
"4713","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_CONFIGURATION_SUMMARY_V1","Storage Service Owner Mapping Configuration Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4713-storage-service-owner-mapping-configuration-summary.ps1","ef294f510da9a843acb395893390369bad2a9094824ba246d9313d7253b5afb6","False","False","False","safe sanitized evidence only"
"4714","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_COUNT_SUMMARY_V1","Storage Service Owner Mapping Count Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4714-storage-service-owner-mapping-count-summary.ps1","6b3db037636812054e182cd7f685994f2d609000ed077cd0c3b38ac1f87842c1","False","False","False","safe sanitized evidence only"
"4715","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_RISK_CATEGORY_SUMMARY_V1","Storage Service Owner Mapping Risk Category Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4715-storage-service-owner-mapping-risk-category-summary.ps1","7f0a6ee2e4995fff10a00ec2150f626e73ec5c8c34c7267f80523bcc848424e7","False","False","False","safe sanitized evidence only"
"4716","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_EVENT_COUNT_24H_V1","Storage Service Owner Mapping Event Count 24h","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4716-storage-service-owner-mapping-event-count-24h.ps1","3bad99619549f5547c18bcd639a877ba1ae086647d06ad9cffe67abedc2075a9","False","False","False","safe sanitized evidence only"
"4717","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_EVENT_COUNT_7D_V1","Storage Service Owner Mapping Event Count 7d","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4717-storage-service-owner-mapping-event-count-7d.ps1","9a62b2acd28c3d240236e83bd587c56723f252e333c063d059b597a3996402f5","False","False","False","safe sanitized evidence only"
"4718","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_GUIDANCE_PLAN_V1","Storage Service Owner Mapping Guidance Plan","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4718-storage-service-owner-mapping-guidance-plan.ps1","fc0764854a30b09456dcf8ee9cc5106162eab26d06f4d831aa86f05b95682a96","False","False","False","safe sanitized evidence only"
"4719","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_QUESTION_PLAN_V1","Storage Service Owner Mapping Question Plan","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4719-storage-service-owner-mapping-question-plan.ps1","9a06d0c4db3562cd3fd9398ceca17e6114c2b25ca25a324fe881bfe2873745fc","False","False","False","safe sanitized evidence only"
"4720","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_STORAGE_SERVICE_OWNER_MAPPING_RUNNER_SUMMARY_V1","Storage Service Owner Mapping Runner Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4720-storage-service-owner-mapping-runner-summary.ps1","0c48379bccac06fa6b10170db4478df91e3344ea80d017d5228f6a9b69f7f6be","False","False","False","safe sanitized evidence only"
"4721","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_BUSINESS_APPLICATION_DEPENDENCY_MAP_PRESENCE_SUMMARY_V1","Business Application Dependency Map Presence Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4721-business-application-dependency-map-presence-summary.ps1","b5085cb89359aadf41be7bbc0a0d8846c7d0471b4029d084f4ef91dec1e6c75c","False","False","False","safe sanitized evidence only"
"4722","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_BUSINESS_APPLICATION_DEPENDENCY_MAP_STATUS_SUMMARY_V1","Business Application Dependency Map Status Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4722-business-application-dependency-map-status-summary.ps1","1f6900fd78acdb36b5decef789601cbbea2ee5f8592be678374cb5806426d7da","False","False","False","safe sanitized evidence only"
"4723","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_BUSINESS_APPLICATION_DEPENDENCY_MAP_CONFIGURATION_SUMMARY_V1","Business Application Dependency Map Configuration Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4723-business-application-dependency-map-configuration-summary.ps1","68a2fb615e8dbe477516204c16eb814622ca3f64f0019f519935eb89e9c5e8e8","False","False","False","safe sanitized evidence only"
"4724","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_BUSINESS_APPLICATION_DEPENDENCY_MAP_COUNT_SUMMARY_V1","Business Application Dependency Map Count Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4724-business-application-dependency-map-count-summary.ps1","baa4e4dc683fa8704287ce6960dfb6e5da2f10df6c77b859c7781c1df6f337a6","False","False","False","safe sanitized evidence only"
"4725","STORAGE_ENTERPRISE_GOVERNANCE_CMDB_CHANGE_EVIDENCE_V1_BUSINESS_APPLICATION_DEPENDENCY_MAP_RISK_CATEGORY_SUMMARY_V1","Business Application Dependency Map Risk Category Summary","enterprise-governance-cmdb-change-evidence-v1","action-layers/windows/storage-admin/enterprise-governance-cmdb-change-evidence-v1/scripts/checks/4725-business-application-dependency-map-risk-category-summary.ps1","a1933c23af5c6b237e365a6518f01aa9daf2daa79e71e7789a777903d33ed248","False","False","False","safe sanitized evidence only"
