"number","action_id","title","layer","script_path","script_sha256","mutation_capable","stores_credentials","stores_target_inventory","evidence"
"4001","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_PRESENCE_SUMMARY_V1","Kubernetes Csi Driver Health Presence Summary","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4001-kubernetes-csi-driver-health-presence-summary.ps1","4bd2b2b681e4c0150d1abc8aa15d11ca07db30df0b10f5f2356d80f5ab7ebab5","False","False","False","safe sanitized evidence only"
"4002","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_STATUS_SUMMARY_V1","Kubernetes Csi Driver Health Status Summary","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4002-kubernetes-csi-driver-health-status-summary.ps1","f403089a5decc012ca1aaa05cadc33c08e2f9b8d6c0f22de22e785178331c869","False","False","False","safe sanitized evidence only"
"4003","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_CONFIGURATION_SUMMARY_V1","Kubernetes Csi Driver Health Configuration Summary","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4003-kubernetes-csi-driver-health-configuration-summary.ps1","c1cf25b0bfae764fa14dbeaca57e79f5fdf9b291c4ada90c46ae92f33e5a75b3","False","False","False","safe sanitized evidence only"
"4004","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_COUNT_SUMMARY_V1","Kubernetes Csi Driver Health Count Summary","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4004-kubernetes-csi-driver-health-count-summary.ps1","e883684811752fa4023f5de4d9b059f8b0e4886c1545eb7cf7144e71b5602c79","False","False","False","safe sanitized evidence only"
"4005","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_RISK_CATEGORY_SUMMARY_V1","Kubernetes Csi Driver Health Risk Category Summary","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4005-kubernetes-csi-driver-health-risk-category-summary.ps1","aff952f890527558ad51c3f6fcfd8e71a48ccba10fdc1fccb81862736991d9f2","False","False","False","safe sanitized evidence only"
"4006","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_EVENT_COUNT_24H_V1","Kubernetes Csi Driver Health Event Count 24h","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4006-kubernetes-csi-driver-health-event-count-24h.ps1","11c3febffff1452226545a69eda0b66c4804d5b7eb1115b0296f265efd1ac306","False","False","False","safe sanitized evidence only"
"4007","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_EVENT_COUNT_7D_V1","Kubernetes Csi Driver Health Event Count 7d","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4007-kubernetes-csi-driver-health-event-count-7d.ps1","5a7c0e8223761c04b6ab14e27424849ab04f08ffb69610933d59ef96b5a75546","False","False","False","safe sanitized evidence only"
"4008","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_GUIDANCE_PLAN_V1","Kubernetes Csi Driver Health Guidance Plan","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4008-kubernetes-csi-driver-health-guidance-plan.ps1","3ee2a9e02949f2b7b4aa24f6f5a5902228963e06df674cfb1847adf87fe07ef9","False","False","False","safe sanitized evidence only"
"4009","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_QUESTION_PLAN_V1","Kubernetes Csi Driver Health Question Plan","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4009-kubernetes-csi-driver-health-question-plan.ps1","71c14077a3d2da6d2b5286c42d774979b15c802c9ea431225c2d334ed9e2193b","False","False","False","safe sanitized evidence only"
"4010","STORAGE_ENTERPRISE_KUBERNETES_CLOUD_STORAGE_EVIDENCE_V1_KUBERNETES_CSI_DRIVER_HEALTH_RUNNER_SUMMARY_V1","Kubernetes Csi Driver Health Runner Summary","enterprise-kubernetes-cloud-storage-evidence-v1","action-layers/windows/storage-admin/enterprise-kubernetes-cloud-storage-evidence-v1/scripts/checks/4010-kubernetes-csi-driver-health-runner-summary.ps1","e22e6807c4209e852fa4e9f0f9ecd4cc4b72940c19b505364a6642e81efa893d","False","False","False","safe sanitized evidence only"
