"number","action_id","title","layer","script_path","script_sha256","mutation_capable","stores_credentials","stores_target_inventory","evidence"
"3001","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_PRESENCE_SUMMARY_V1","Workstation Drive Mapping Health Presence Summary","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3001-workstation-drive-mapping-health-presence-summary.ps1","7f70636004029ff1f3f872b6536095c2845b073ad357380397806a56aae3f53b","False","False","False","safe sanitized evidence only"
"3002","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_STATUS_SUMMARY_V1","Workstation Drive Mapping Health Status Summary","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3002-workstation-drive-mapping-health-status-summary.ps1","2c09ad8183e7137e2ac0e040fc3ad4d41aef82785b0b7aa8f7b8280445bc9005","False","False","False","safe sanitized evidence only"
"3003","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_CONFIGURATION_SUMMARY_V1","Workstation Drive Mapping Health Configuration Summary","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3003-workstation-drive-mapping-health-configuration-summary.ps1","5005cc32544685a6a83a8e9df267df729191b63676427918c5409e0bfe692f3b","False","False","False","safe sanitized evidence only"
"3004","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_COUNT_SUMMARY_V1","Workstation Drive Mapping Health Count Summary","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3004-workstation-drive-mapping-health-count-summary.ps1","60745c428482ed41fa801efa57103df917d8e954e7eabae49946d4d011def0ec","False","False","False","safe sanitized evidence only"
"3005","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_RISK_CATEGORY_SUMMARY_V1","Workstation Drive Mapping Health Risk Category Summary","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3005-workstation-drive-mapping-health-risk-category-summary.ps1","52231bbbf7d95561af01005222500720ddfa012e8846a769a407f28e9af78e87","False","False","False","safe sanitized evidence only"
"3006","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_EVENT_COUNT_24H_V1","Workstation Drive Mapping Health Event Count 24h","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3006-workstation-drive-mapping-health-event-count-24h.ps1","76722896c64e27aa7a769fe9c2bf3a284f0ab5cb3db678e26d5f755cc54b5541","False","False","False","safe sanitized evidence only"
"3007","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_EVENT_COUNT_7D_V1","Workstation Drive Mapping Health Event Count 7d","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3007-workstation-drive-mapping-health-event-count-7d.ps1","b0f51432f5446c3624d922df577acf3f1de63d4d017ca3b9dafa98d2de7b5cae","False","False","False","safe sanitized evidence only"
"3008","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_GUIDANCE_PLAN_V1","Workstation Drive Mapping Health Guidance Plan","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3008-workstation-drive-mapping-health-guidance-plan.ps1","4383682b4e26a62b68bff1333740aadaf34c7035ece0967811f3a45eff75aeef","False","False","False","safe sanitized evidence only"
"3009","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_QUESTION_PLAN_V1","Workstation Drive Mapping Health Question Plan","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3009-workstation-drive-mapping-health-question-plan.ps1","7052149343215feeaf20781282d84812ab812c8037c10fe8d6bf8fbdf97e78d7","False","False","False","safe sanitized evidence only"
"3010","STORAGE_ENTERPRISE_STORAGE_INTAKE_TRIAGE_EVIDENCE_V1_WORKSTATION_DRIVE_MAPPING_HEALTH_RUNNER_SUMMARY_V1","Workstation Drive Mapping Health Runner Summary","enterprise-storage-intake-triage-evidence-v1","action-layers/windows/storage-admin/enterprise-storage-intake-triage-evidence-v1/scripts/checks/3010-workstation-drive-mapping-health-runner-summary.ps1","19a1d220c94b87986704992404fefe91f3ddf3cb4bd016bfff62ee73fe4e637c","False","False","False","safe sanitized evidence only"
