"action_id","title","action_layer","script_path","platform","audience","tier","status","mutation_capable","requires_admin","stores_credentials","stores_target_inventory","evidence","issue_area","action_type"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_PRESENCE_SUMMARY_V1","Linux Storage Package Readiness Presence Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2651-linux-storage-package-readiness-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_STATUS_SUMMARY_V1","Linux Storage Package Readiness Status Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2652-linux-storage-package-readiness-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_CONFIGURATION_SUMMARY_V1","Linux Storage Package Readiness Configuration Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2653-linux-storage-package-readiness-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_COUNT_SUMMARY_V1","Linux Storage Package Readiness Count Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2654-linux-storage-package-readiness-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_RISK_CATEGORY_SUMMARY_V1","Linux Storage Package Readiness Risk Category Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2655-linux-storage-package-readiness-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_EVENT_COUNT_24H_V1","Linux Storage Package Readiness Event Count 24h","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2656-linux-storage-package-readiness-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_EVENT_COUNT_7D_V1","Linux Storage Package Readiness Event Count 7d","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2657-linux-storage-package-readiness-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_GUIDANCE_PLAN_V1","Linux Storage Package Readiness Guidance Plan","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2658-linux-storage-package-readiness-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_QUESTION_PLAN_V1","Linux Storage Package Readiness Question Plan","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2659-linux-storage-package-readiness-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_LINUX_STORAGE_PACKAGE_READINESS_RUNNER_SUMMARY_V1","Linux Storage Package Readiness Runner Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2660-linux-storage-package-readiness-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_PRESENCE_SUMMARY_V1","Multipath Daemon Status Presence Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2661-multipath-daemon-status-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_STATUS_SUMMARY_V1","Multipath Daemon Status Status Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2662-multipath-daemon-status-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_CONFIGURATION_SUMMARY_V1","Multipath Daemon Status Configuration Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2663-multipath-daemon-status-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_COUNT_SUMMARY_V1","Multipath Daemon Status Count Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2664-multipath-daemon-status-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_RISK_CATEGORY_SUMMARY_V1","Multipath Daemon Status Risk Category Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2665-multipath-daemon-status-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_EVENT_COUNT_24H_V1","Multipath Daemon Status Event Count 24h","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2666-multipath-daemon-status-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_EVENT_COUNT_7D_V1","Multipath Daemon Status Event Count 7d","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2667-multipath-daemon-status-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_GUIDANCE_PLAN_V1","Multipath Daemon Status Guidance Plan","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2668-multipath-daemon-status-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_QUESTION_PLAN_V1","Multipath Daemon Status Question Plan","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2669-multipath-daemon-status-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_DAEMON_STATUS_RUNNER_SUMMARY_V1","Multipath Daemon Status Runner Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2670-multipath-daemon-status-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_PATH_COUNT_PRESENCE_SUMMARY_V1","Multipath Path Count Presence Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2671-multipath-path-count-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_PATH_COUNT_STATUS_SUMMARY_V1","Multipath Path Count Status Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2672-multipath-path-count-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_PATH_COUNT_CONFIGURATION_SUMMARY_V1","Multipath Path Count Configuration Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2673-multipath-path-count-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
"STORAGE_LINUX_MULTIPATH_PATH_COUNT_COUNT_SUMMARY_V1","Multipath Path Count Count Summary","linux-storage-host-fleet-evidence-v1","action-layers/windows/storage-admin/linux-storage-host-fleet-evidence-v1/scripts/checks/2674-multipath-path-count-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","linux-storage-host-fleet-evidence-v1","evidence"
