"action_id","title","action_layer","script_path","platform","audience","tier","status","mutation_capable","requires_admin","stores_credentials","stores_target_inventory","evidence","issue_area","action_type"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_PRESENCE_SUMMARY_V1","ONTAP Package Readiness Presence Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1701-ontap-package-readiness-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_STATUS_SUMMARY_V1","ONTAP Package Readiness Status Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1702-ontap-package-readiness-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_CONFIGURATION_SUMMARY_V1","ONTAP Package Readiness Configuration Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1703-ontap-package-readiness-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_COUNT_SUMMARY_V1","ONTAP Package Readiness Count Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1704-ontap-package-readiness-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_RISK_CATEGORY_SUMMARY_V1","ONTAP Package Readiness Risk Category Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1705-ontap-package-readiness-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_EVENT_COUNT_24H_V1","ONTAP Package Readiness Event Count 24h","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1706-ontap-package-readiness-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_EVENT_COUNT_7D_V1","ONTAP Package Readiness Event Count 7d","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1707-ontap-package-readiness-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_GUIDANCE_PLAN_V1","ONTAP Package Readiness Guidance Plan","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1708-ontap-package-readiness-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_QUESTION_PLAN_V1","ONTAP Package Readiness Question Plan","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1709-ontap-package-readiness-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_PACKAGE_READINESS_RUNNER_SUMMARY_V1","ONTAP Package Readiness Runner Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1710-ontap-package-readiness-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_POWERSHELL_TOOLKIT_PRESENCE_SUMMARY_V1","ONTAP Powershell Toolkit Presence Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1711-ontap-powershell-toolkit-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_POWERSHELL_TOOLKIT_STATUS_SUMMARY_V1","ONTAP Powershell Toolkit Status Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1712-ontap-powershell-toolkit-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_POWERSHELL_TOOLKIT_CONFIGURATION_SUMMARY_V1","ONTAP Powershell Toolkit Configuration Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1713-ontap-powershell-toolkit-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_POWERSHELL_TOOLKIT_COUNT_SUMMARY_V1","ONTAP Powershell Toolkit Count Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1714-ontap-powershell-toolkit-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_POWERSHELL_TOOLKIT_RISK_CATEGORY_SUMMARY_V1","ONTAP Powershell Toolkit Risk Category Summary","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1715-ontap-powershell-toolkit-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_POWERSHELL_TOOLKIT_EVENT_COUNT_24H_V1","ONTAP Powershell Toolkit Event Count 24h","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1716-ontap-powershell-toolkit-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
"STORAGE_NETAPP_ONTAP_POWERSHELL_TOOLKIT_EVENT_COUNT_7D_V1","ONTAP Powershell Toolkit Event Count 7d","netapp-ontap-enterprise-evidence-v1","action-layers/windows/storage-admin/netapp-ontap-enterprise-evidence-v1/scripts/checks/1717-ontap-powershell-toolkit-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","netapp-ontap-enterprise-evidence-v1","evidence"
