"action_id","title","action_layer","script_path","platform","audience","tier","status","mutation_capable","requires_admin","stores_credentials","stores_target_inventory","evidence","issue_area","action_type"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_PRESENCE_SUMMARY_V1","Varonis Platform Package Readiness Presence Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2201-varonis-platform-package-readiness-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_STATUS_SUMMARY_V1","Varonis Platform Package Readiness Status Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2202-varonis-platform-package-readiness-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_CONFIGURATION_SUMMARY_V1","Varonis Platform Package Readiness Configuration Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2203-varonis-platform-package-readiness-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_COUNT_SUMMARY_V1","Varonis Platform Package Readiness Count Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2204-varonis-platform-package-readiness-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_RISK_CATEGORY_SUMMARY_V1","Varonis Platform Package Readiness Risk Category Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2205-varonis-platform-package-readiness-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_EVENT_COUNT_24H_V1","Varonis Platform Package Readiness Event Count 24h","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2206-varonis-platform-package-readiness-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_EVENT_COUNT_7D_V1","Varonis Platform Package Readiness Event Count 7d","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2207-varonis-platform-package-readiness-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_GUIDANCE_PLAN_V1","Varonis Platform Package Readiness Guidance Plan","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2208-varonis-platform-package-readiness-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_QUESTION_PLAN_V1","Varonis Platform Package Readiness Question Plan","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2209-varonis-platform-package-readiness-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_VARONIS_PLATFORM_PACKAGE_READINESS_RUNNER_SUMMARY_V1","Varonis Platform Package Readiness Runner Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2210-varonis-platform-package-readiness-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_PRESENCE_SUMMARY_V1","DatAdvantage Collector Health Presence Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2211-datadvantage-collector-health-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_STATUS_SUMMARY_V1","DatAdvantage Collector Health Status Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2212-datadvantage-collector-health-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_CONFIGURATION_SUMMARY_V1","DatAdvantage Collector Health Configuration Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2213-datadvantage-collector-health-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_COUNT_SUMMARY_V1","DatAdvantage Collector Health Count Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2214-datadvantage-collector-health-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_RISK_CATEGORY_SUMMARY_V1","DatAdvantage Collector Health Risk Category Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2215-datadvantage-collector-health-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_EVENT_COUNT_24H_V1","DatAdvantage Collector Health Event Count 24h","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2216-datadvantage-collector-health-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_EVENT_COUNT_7D_V1","DatAdvantage Collector Health Event Count 7d","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2217-datadvantage-collector-health-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_GUIDANCE_PLAN_V1","DatAdvantage Collector Health Guidance Plan","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2218-datadvantage-collector-health-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_QUESTION_PLAN_V1","DatAdvantage Collector Health Question Plan","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2219-datadvantage-collector-health-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_DATADVANTAGE_COLLECTOR_HEALTH_RUNNER_SUMMARY_V1","DatAdvantage Collector Health Runner Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2220-datadvantage-collector-health-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_FILEWALK_SCAN_COVERAGE_PRESENCE_SUMMARY_V1","FileWalk Scan Coverage Presence Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2221-filewalk-scan-coverage-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
"STORAGE_VARONIS_FILEWALK_SCAN_COVERAGE_STATUS_SUMMARY_V1","FileWalk Scan Coverage Status Summary","varonis-data-security-evidence-v1","action-layers/windows/storage-admin/varonis-data-security-evidence-v1/scripts/checks/2222-filewalk-scan-coverage-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","varonis-data-security-evidence-v1","evidence"
