"action_id","title","action_layer","script_path","platform","audience","tier","status","mutation_capable","requires_admin","stores_credentials","stores_target_inventory","evidence","issue_area","action_type"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_PRESENCE_SUMMARY_V1","Smb Server Package Readiness Presence Summary","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/951-smb-server-package-readiness-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_STATUS_SUMMARY_V1","Smb Server Package Readiness Status Summary","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/952-smb-server-package-readiness-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_CONFIGURATION_SUMMARY_V1","Smb Server Package Readiness Configuration Summary","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/953-smb-server-package-readiness-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_COUNT_SUMMARY_V1","Smb Server Package Readiness Count Summary","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/954-smb-server-package-readiness-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_RISK_CATEGORY_SUMMARY_V1","Smb Server Package Readiness Risk Category Summary","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/955-smb-server-package-readiness-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_EVENT_COUNT_24H_V1","Smb Server Package Readiness Event Count 24h","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/956-smb-server-package-readiness-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_EVENT_COUNT_7D_V1","Smb Server Package Readiness Event Count 7d","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/957-smb-server-package-readiness-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_GUIDANCE_PLAN_V1","Smb Server Package Readiness Guidance Plan","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/958-smb-server-package-readiness-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_QUESTION_PLAN_V1","Smb Server Package Readiness Question Plan","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/959-smb-server-package-readiness-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_PACKAGE_READINESS_RUNNER_SUMMARY_V1","Smb Server Package Readiness Runner Summary","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/960-smb-server-package-readiness-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
"STORAGE_SMB_SERVER_SMB_SERVER_SERVICE_PRESENCE_SUMMARY_V1","Smb Server Service Presence Summary","windows-file-server-smb-server-evidence-v1","action-layers/windows/storage-admin/windows-file-server-smb-server-evidence-v1/scripts/checks/961-smb-server-service-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-file-server-smb-server-evidence-v1","evidence"
