"action_id","title","action_layer","script_path","platform","audience","tier","status","mutation_capable","requires_admin","stores_credentials","stores_target_inventory","evidence","issue_area","action_type"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_PRESENCE_SUMMARY_V1","Restore Package Readiness Presence Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1451-restore-package-readiness-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_STATUS_SUMMARY_V1","Restore Package Readiness Status Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1452-restore-package-readiness-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_CONFIGURATION_SUMMARY_V1","Restore Package Readiness Configuration Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1453-restore-package-readiness-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_COUNT_SUMMARY_V1","Restore Package Readiness Count Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1454-restore-package-readiness-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_RISK_CATEGORY_SUMMARY_V1","Restore Package Readiness Risk Category Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1455-restore-package-readiness-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_EVENT_COUNT_24H_V1","Restore Package Readiness Event Count 24h","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1456-restore-package-readiness-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_EVENT_COUNT_7D_V1","Restore Package Readiness Event Count 7d","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1457-restore-package-readiness-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_GUIDANCE_PLAN_V1","Restore Package Readiness Guidance Plan","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1458-restore-package-readiness-guidance-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_QUESTION_PLAN_V1","Restore Package Readiness Question Plan","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1459-restore-package-readiness-question-plan.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_RESTORE_PACKAGE_READINESS_RUNNER_SUMMARY_V1","Restore Package Readiness Runner Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1460-restore-package-readiness-runner-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_VSS_SERVICE_PRESENCE_SUMMARY_V1","Vss Service Presence Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1461-vss-service-presence-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_VSS_SERVICE_STATUS_SUMMARY_V1","Vss Service Status Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1462-vss-service-status-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_VSS_SERVICE_CONFIGURATION_SUMMARY_V1","Vss Service Configuration Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1463-vss-service-configuration-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_VSS_SERVICE_COUNT_SUMMARY_V1","Vss Service Count Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1464-vss-service-count-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_VSS_SERVICE_RISK_CATEGORY_SUMMARY_V1","Vss Service Risk Category Summary","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1465-vss-service-risk-category-summary.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_VSS_SERVICE_EVENT_COUNT_24H_V1","Vss Service Event Count 24h","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1466-vss-service-event-count-24h.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
"STORAGE_RESTORE_VSS_SERVICE_EVENT_COUNT_7D_V1","Vss Service Event Count 7d","windows-vss-restore-readiness-evidence-v1","action-layers/windows/storage-admin/windows-vss-restore-readiness-evidence-v1/scripts/checks/1467-vss-service-event-count-7d.ps1","windows","storage-admin","Level 3","candidate","False","True","False","False","safe sanitized evidence only","windows-vss-restore-readiness-evidence-v1","evidence"
