action_id,title,tier,status,risk_tier,requires_admin,requires_runtime_input,mutation_capable,dry_run_default,requires_apply_for_change,script_path,script_sha256
ENDUSER_GET_USER_COMPUTER_CONTEXT_V1,Enduser Get User Computer Context V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/01-Get-UserComputerContext.ps1,3bd65de4818da4b0429bfa74c24602cefc68f3ae88dbf6b39d02bf75de343f15
ENDUSER_GET_NETWORK_ADAPTER_STATUS_V1,Enduser Get Network Adapter Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/02-Get-NetworkAdapterStatus.ps1,ea2e96f9285992c6e1f83df305fc661feb2c82386b81f3cb6fe246289c2b6742
ENDUSER_GET_DNS_CLIENT_SUMMARY_V1,Enduser Get Dns Client Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/03-Get-DnsClientSummary.ps1,b8b3b76cd54055014a2bbbf70730de35e93dd92cbb955fa5ef12802393555658
ENDUSER_TEST_DNS_RESOLVE_NAME_V1,Enduser Test Dns Resolve Name V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/04-Test-DnsResolveName.ps1,fc475c8b83bf025935584e905a1407da37491cfc7b82468d10b8b4f1658fd9aa
ENDUSER_TEST_PING_TARGET_V1,Enduser Test Ping Target V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/05-Test-PingTarget.ps1,f0f3b7130b44546c006a8f0c1eacf16b98c21daa7f576844279bf10bbb083302
ENDUSER_TEST_TCP_PORT_V1,Enduser Test Tcp Port V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/06-Test-TcpPort.ps1,0e73726f13957735cb10e28360a4059a5d4e257da47d9f1a8100bcf8b6fd0904
ENDUSER_TEST_URL_STATUS_V1,Enduser Test Url Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/07-Test-UrlStatus.ps1,3a02dc26568f868aef56f24ccf208deee1a08b73508e7daf3e0c062068e52c22
ENDUSER_TEST_UNC_PATH_ACCESS_V1,Enduser Test Unc Path Access V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/08-Test-UncPathAccess.ps1,55b373da505340118791bd37b0186481eff2cb0b375219bca2de50622619872d
ENDUSER_OPEN_UNC_PARENT_FOLDER_V1,Enduser Open Unc Parent Folder V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/09-Open-UncParentFolder.ps1,3cf4f95fcc64a92fa789d2f9f25c032aba7aa5af3980ad316e35e1d8c6398945
ENDUSER_GET_MAPPED_DRIVES_V1,Enduser Get Mapped Drives V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/10-Get-MappedDrives.ps1,a91c6f83946428679a2434ea629eecb64ac7fb4ba7891fb6c4bf58e96eba8ee6
ENDUSER_TEST_MAPPED_DRIVES_V1,Enduser Test Mapped Drives V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/11-Test-MappedDrives.ps1,a569e28bb884f1ca0742a6294b86d799f76f71923c7337b9f08f79320c38b12b
ENDUSER_GET_LOCAL_DRIVE_SPACE_V1,Enduser Get Local Drive Space V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/12-Get-LocalDriveSpace.ps1,da6d92d4f96cf266b994ebef38698e4ccb895b3aac5c6f2f603a8ed3141d2d36
ENDUSER_GET_ONEDRIVE_BASIC_STATUS_V1,Enduser Get Onedrive Basic Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/13-Get-OneDriveBasicStatus.ps1,37af55933ed47df8a5d16fa314b77de6cc48144c443563025bc7e4eabd9870e5
ENDUSER_GET_SMB_CLIENT_BASIC_STATUS_V1,Enduser Get Smb Client Basic Status V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/14-Get-SmbClientBasicStatus.ps1,0ea442a677a223e987982316c0c6afd408dc0500b65919de5f799ccceb5e81b6
ENDUSER_GET_SMB_CONNECTIONS_V1,Enduser Get Smb Connections V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/15-Get-SmbConnections.ps1,09b5d13f47f77ec56f56711888aacc1ec976dbbe567f896da709b3b8e59eae80
ENDUSER_GET_RECENT_STORAGE_EVENTS_V1,Enduser Get Recent Storage Events V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/16-Get-RecentStorageRelatedEvents.ps1,d907b25da33e39648b3c28458d999cea7a8f137ef6f2af1ffc30b9031316f9a6
ENDUSER_GET_GPRESULT_USER_SUMMARY_V1,Enduser Get Gpresult User Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/17-Get-GpResultUserSummary.ps1,7d2719de050f755e338e23b9d9f39690d461fb6826d9d881bceb78423eb4a7f1
ENDUSER_TEST_CURRENT_USER_CAN_LIST_PATH_V1,Enduser Test Current User Can List Path V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,True,False,False,False,packs/windows/end-user/diagnostics-v1/scripts/checks/18-Test-CurrentUserCanListPath.ps1,42447b24bacdad0eb89be8672687ca736276341a00de11b058dfc2eb3730e09f
